,profit,fees,balance,position,streak
2001,12.5,0.25,1524.75,2,1.0
2002,12.5,0.25,1537.0,1,1.0
2003,0.0,0.0,1537.0,1,1.0
2004,0.0,0.0,1537.0,1,1.0
2005,0.0,0.0,1537.0,1,1.0
2006,0.0,0.0,1537.0,1,1.0
2007,0.0,0.0,1537.0,1,1.0
2008,0.0,0.0,1537.0,1,1.0
2009,0.0,0.0,1537.0,1,1.0
2010,0.0,0.0,1537.0,1,1.0
2011,0.0,0.0,1537.0,1,1.0
2012,0.0,0.0,1537.0,1,1.0
2013,0.0,0.0,1537.0,1,1.0
2014,12.5,0.25,1549.25,2,1.0
2015,0.0,0.25,1549.0,1,1.0
2016,0.0,0.0,1549.0,1,1.0
2017,0.0,0.0,1549.0,1,1.0
2018,0.0,0.0,1549.0,1,1.0
2019,0.0,0.0,1549.0,1,1.0
2020,-12.5,0.25,1536.25,2,1.0
2021,-12.5,0.25,1523.5,1,1.0
2022,0.0,0.25,1523.25,2,1.0
2023,0.0,0.25,1523.0,1,1.0
2024,0.0,0.25,1522.75,2,1.0
2025,0.0,0.25,1522.5,1,1.0
2026,0.0,0.25,1522.25,2,1.0
2027,-12.5,0.25,1509.5,1,1.0
2028,0.0,0.25,1509.25,2,1.0
2029,0.0,0.25,1509.0,1,1.0
2030,-12.5,0.25,1496.25,2,1.0
2031,0.0,0.25,1496.0,0,1.0
2032,0.0,0.25,1495.75,2,1.0
2033,0.0,0.25,1495.5,0,1.0
2034,0.0,0.25,1495.25,2,1.0
2035,0.0,0.25,1495.0,0,1.0
2036,0.0,0.25,1494.75,1,1.0
2037,0.0,0.0,1494.75,1,1.0
2038,0.0,0.0,1494.75,1,1.0
2039,0.0,0.0,1494.75,1,1.0
2040,0.0,0.0,1494.75,1,1.0
2041,0.0,0.0,1494.75,1,1.0
2042,0.0,0.0,1494.75,1,1.0
2043,0.0,0.0,1494.75,1,1.0
2044,0.0,0.0,1494.75,1,1.0
2045,0.0,0.0,1494.75,1,1.0
2046,0.0,0.0,1494.75,1,1.0
2047,0.0,0.0,1494.75,1,1.0
2048,0.0,0.0,1494.75,1,1.0
2049,0.0,0.0,1494.75,1,1.0
2050,0.0,0.0,1494.75,1,1.0
2051,0.0,0.0,1494.75,1,1.0
2052,0.0,0.0,1494.75,1,1.0
2053,0.0,0.0,1494.75,1,1.0
2054,0.0,0.0,1494.75,1,1.0
2055,0.0,0.0,1494.75,1,1.0
2056,0.0,0.0,1494.75,1,1.0
2057,0.0,0.0,1494.75,1,1.0
2058,0.0,0.0,1494.75,1,1.0
2059,0.0,0.0,1494.75,1,1.0
2060,0.0,0.0,1494.75,1,1.0
2061,0.0,0.0,1494.75,1,1.0
2062,-25.0,0.25,1469.5,0,1.0
2063,0.0,0.25,1469.25,1,1.0
2064,0.0,0.0,1469.25,1,1.0
2065,0.0,0.0,1469.25,1,1.0
2066,0.0,0.0,1469.25,1,1.0
2067,0.0,0.0,1469.25,1,1.0
2068,0.0,0.0,1469.25,1,1.0
2069,0.0,0.0,1469.25,1,1.0
2070,0.0,0.0,1469.25,1,1.0
2071,0.0,0.0,1469.25,1,1.0
2072,0.0,0.0,1469.25,1,1.0
2073,0.0,0.0,1469.25,1,1.0
2074,0.0,0.0,1469.25,1,1.0
2075,0.0,0.0,1469.25,1,1.0
2076,0.0,0.0,1469.25,1,1.0
2077,0.0,0.0,1469.25,1,1.0
2078,0.0,0.0,1469.25,1,1.0
2079,0.0,0.0,1469.25,1,1.0
2080,0.0,0.0,1469.25,1,1.0
2081,0.0,0.0,1469.25,1,1.0
2082,0.0,0.0,1469.25,1,1.0
2083,0.0,0.0,1469.25,1,1.0
2084,0.0,0.0,1469.25,1,1.0
2085,0.0,0.0,1469.25,1,1.0
2086,0.0,0.0,1469.25,1,1.0
2087,0.0,0.0,1469.25,1,1.0
2088,0.0,0.0,1469.25,1,1.0
2089,0.0,0.0,1469.25,1,1.0
2090,0.0,0.0,1469.25,1,1.0
2091,0.0,0.0,1469.25,1,1.0
2092,0.0,0.0,1469.25,1,1.0
2093,-25.0,0.25,1444.0,0,1.0
2094,0.0,0.25,1443.75,2,1.0
2095,0.0,0.25,1443.5,1,1.0
2096,0.0,0.0,1443.5,1,1.0
2097,0.0,0.0,1443.5,1,1.0
2098,0.0,0.0,1443.5,1,1.0
2099,0.0,0.0,1443.5,1,1.0
2100,0.0,0.0,1443.5,1,1.0
2101,50.0,0.25,1493.25,2,1.0
2102,0.0,0.25,1493.0,1,1.0
2103,0.0,0.0,1493.0,1,1.0
2104,0.0,0.0,1493.0,1,1.0
2105,0.0,0.0,1493.0,1,1.0
2106,-25.0,0.25,1467.75,0,1.0
2107,0.0,0.25,1467.5,1,1.0
2108,0.0,0.0,1467.5,1,1.0
2109,0.0,0.0,1467.5,1,1.0
2110,0.0,0.0,1467.5,1,1.0
2111,0.0,0.0,1467.5,1,1.0
2112,-75.0,0.25,1392.25,2,1.0
2113,12.5,0.25,1404.5,1,1.0
2114,0.0,0.0,1404.5,1,1.0
2115,0.0,0.0,1404.5,1,1.0
2116,12.5,0.25,1416.75,2,1.0
2117,0.0,0.0,1416.75,2,1.0
2118,0.0,0.0,1416.75,2,1.0
2119,0.0,0.0,1416.75,2,1.0
2120,0.0,0.0,1416.75,2,1.0
2121,0.0,0.0,1416.75,2,1.0
2122,0.0,0.0,1416.75,2,1.0
2123,0.0,0.0,1416.75,2,1.0
2124,0.0,0.0,1416.75,2,1.0
2125,0.0,0.0,1416.75,2,1.0
2126,0.0,0.0,1416.75,2,1.0
2127,0.0,0.0,1416.75,2,1.0
2128,0.0,0.0,1416.75,2,1.0
2129,0.0,0.0,1416.75,2,1.0
2130,0.0,0.0,1416.75,2,1.0
2131,0.0,0.0,1416.75,2,1.0
2132,0.0,0.0,1416.75,2,1.0
2133,750.0,0.25,2166.5,1,3.0
2134,-25.0,0.25,2141.25,2,1.0
2135,0.0,0.0,2141.25,2,1.0
2136,0.0,0.0,2141.25,2,1.0
2137,0.0,0.0,2141.25,2,1.0
2138,0.0,0.0,2141.25,2,1.0
2139,0.0,0.0,2141.25,2,1.0
2140,0.0,0.0,2141.25,2,1.0
2141,0.0,0.0,2141.25,2,1.0
2142,0.0,0.0,2141.25,2,1.0
2143,0.0,0.0,2141.25,2,1.0
2144,0.0,0.0,2141.25,2,1.0
2145,0.0,0.0,2141.25,2,1.0
2146,0.0,0.0,2141.25,2,1.0
2147,0.0,0.0,2141.25,2,1.0
2148,37.5,0.25,2178.5,1,1.0
2149,-50.0,0.25,2128.25,2,1.0
2150,0.0,0.0,2128.25,2,1.0
2151,0.0,0.0,2128.25,2,1.0
2152,0.0,0.0,2128.25,2,1.0
2153,0.0,0.0,2128.25,2,1.0
2154,0.0,0.0,2128.25,2,1.0
2155,0.0,0.0,2128.25,2,1.0
2156,0.0,0.0,2128.25,2,1.0
2157,0.0,0.0,2128.25,2,1.0
2158,0.0,0.0,2128.25,2,1.0
2159,0.0,0.0,2128.25,2,1.0
2160,0.0,0.0,2128.25,2,1.0
2161,0.0,0.0,2128.25,2,1.0
2162,0.0,0.0,2128.25,2,1.0
2163,0.0,0.0,2128.25,2,1.0
2164,0.0,0.0,2128.25,2,1.0
2165,0.0,0.0,2128.25,2,1.0
2166,0.0,0.0,2128.25,2,1.0
2167,0.0,0.0,2128.25,2,1.0
2168,0.0,0.0,2128.25,2,1.0
2169,0.0,0.0,2128.25,2,1.0
2170,0.0,0.0,2128.25,2,1.0
2171,0.0,0.0,2128.25,2,1.0
2172,0.0,0.0,2128.25,2,1.0
2173,0.0,0.0,2128.25,2,1.0
2174,0.0,0.0,2128.25,2,1.0
2175,0.0,0.0,2128.25,2,1.0
2176,0.0,0.0,2128.25,2,1.0
2177,0.0,0.0,2128.25,2,1.0
2178,12.5,0.25,2140.5,0,1.0
2179,0.0,0.25,2140.25,2,1.0
2180,0.0,0.0,2140.25,2,1.0
2181,0.0,0.0,2140.25,2,1.0
2182,0.0,0.0,2140.25,2,1.0
2183,0.0,0.0,2140.25,2,1.0
2184,0.0,0.0,2140.25,2,1.0
2185,0.0,0.0,2140.25,2,1.0
2186,0.0,0.0,2140.25,2,1.0
2187,0.0,0.0,2140.25,2,1.0
2188,0.0,0.0,2140.25,2,1.0
2189,-37.5,0.25,2102.5,0,1.0
2190,0.0,0.25,2102.25,2,1.0
2191,0.0,0.0,2102.25,2,1.0
2192,0.0,0.0,2102.25,2,1.0
2193,0.0,0.0,2102.25,2,1.0
2194,0.0,0.0,2102.25,2,1.0
2195,0.0,0.0,2102.25,2,1.0
2196,0.0,0.0,2102.25,2,1.0
2197,0.0,0.0,2102.25,2,1.0
2198,0.0,0.0,2102.25,2,1.0
2199,0.0,0.0,2102.25,2,1.0
2200,0.0,0.0,2102.25,2,1.0
2201,0.0,0.0,2102.25,2,1.0
2202,0.0,0.0,2102.25,2,1.0
2203,0.0,0.0,2102.25,2,1.0
2204,0.0,0.0,2102.25,2,1.0
2205,0.0,0.0,2102.25,2,1.0
2206,0.0,0.0,2102.25,2,1.0
2207,0.0,0.0,2102.25,2,1.0
2208,0.0,0.0,2102.25,2,1.0
2209,0.0,0.0,2102.25,2,1.0
2210,0.0,0.0,2102.25,2,1.0
2211,0.0,0.0,2102.25,2,1.0
2212,0.0,0.0,2102.25,2,1.0
2213,0.0,0.0,2102.25,2,1.0
2214,0.0,0.0,2102.25,2,1.0
2215,0.0,0.0,2102.25,2,1.0
2216,0.0,0.0,2102.25,2,1.0
2217,0.0,0.0,2102.25,2,1.0
2218,0.0,0.0,2102.25,2,1.0
2219,0.0,0.0,2102.25,2,1.0
2220,0.0,0.0,2102.25,2,1.0
2221,200.0,0.25,2302.0,1,1.0
2222,0.0,0.25,2301.75,2,1.0
2223,37.5,0.25,2339.0,1,1.0
2224,37.5,0.25,2376.25,2,1.0
2225,0.0,0.0,2376.25,2,1.0
2226,0.0,0.0,2376.25,2,1.0
2227,0.0,0.0,2376.25,2,1.0
2228,0.0,0.0,2376.25,2,1.0
2229,0.0,0.0,2376.25,2,1.0
2230,0.0,0.0,2376.25,2,1.0
2231,0.0,0.0,2376.25,2,1.0
2232,0.0,0.0,2376.25,2,1.0
2233,0.0,0.0,2376.25,2,1.0
2234,0.0,0.0,2376.25,2,1.0
2235,0.0,0.0,2376.25,2,1.0
2236,200.0,0.25,2576.0,0,1.0
2237,0.0,0.25,2575.75,2,1.0
2238,0.0,0.0,2575.75,2,1.0
2239,0.0,0.0,2575.75,2,1.0
2240,0.0,0.0,2575.75,2,1.0
2241,0.0,0.0,2575.75,2,1.0
2242,0.0,0.0,2575.75,2,1.0
2243,0.0,0.0,2575.75,2,1.0
2244,0.0,0.0,2575.75,2,1.0
2245,0.0,0.0,2575.75,2,1.0
2246,0.0,0.0,2575.75,2,1.0
2247,0.0,0.0,2575.75,2,1.0
2248,150.0,0.25,2725.5,0,1.0
2249,0.0,0.25,2725.25,2,1.0
2250,0.0,0.0,2725.25,2,1.0
2251,-62.5,0.25,2662.5,0,1.0
2252,0.0,0.25,2662.25,2,1.0
2253,0.0,0.0,2662.25,2,1.0
2254,0.0,0.0,2662.25,2,1.0
2255,0.0,0.0,2662.25,2,1.0
2256,0.0,0.0,2662.25,2,1.0
2257,0.0,0.0,2662.25,2,1.0
2258,75.0,0.25,2737.0,0,1.0
2259,0.0,0.25,2736.75,2,1.0
2260,0.0,0.0,2736.75,2,1.0
2261,0.0,0.0,2736.75,2,1.0
2262,0.0,0.0,2736.75,2,1.0
2263,0.0,0.0,2736.75,2,1.0
2264,0.0,0.0,2736.75,2,1.0
2265,150.0,0.25,2886.5,1,1.0
2266,12.5,0.25,2898.75,2,1.0
2267,0.0,0.0,2898.75,2,1.0
2268,0.0,0.0,2898.75,2,1.0
2269,0.0,0.0,2898.75,2,1.0
2270,0.0,0.0,2898.75,2,1.0
2271,0.0,0.0,2898.75,2,1.0
2272,0.0,0.0,2898.75,2,1.0
2273,0.0,0.0,2898.75,2,1.0
2274,0.0,0.0,2898.75,2,1.0
2275,0.0,0.0,2898.75,2,1.0
2276,0.0,0.0,2898.75,2,1.0
2277,0.0,0.0,2898.75,2,1.0
2278,0.0,0.0,2898.75,2,1.0
2279,0.0,0.0,2898.75,2,1.0
2280,0.0,0.0,2898.75,2,1.0
2281,0.0,0.0,2898.75,2,1.0
2282,125.0,0.25,3023.5,1,1.0
2283,0.0,0.0,3023.5,1,1.0
2284,-112.5,0.25,2910.75,2,1.0
2285,0.0,0.0,2910.75,2,1.0
2286,0.0,0.0,2910.75,2,1.0
2287,0.0,0.0,2910.75,2,1.0
2288,-137.5,0.25,2773.0,1,1.0
2289,0.0,0.0,2773.0,1,1.0
2290,0.0,0.0,2773.0,1,1.0
2291,0.0,0.0,2773.0,1,1.0
2292,0.0,0.0,2773.0,1,1.0
2293,0.0,0.0,2773.0,1,1.0
2294,0.0,0.0,2773.0,1,1.0
2295,0.0,0.0,2773.0,1,1.0
2296,0.0,0.0,2773.0,1,1.0
2297,0.0,0.0,2773.0,1,1.0
2298,0.0,0.0,2773.0,1,1.0
2299,0.0,0.0,2773.0,1,1.0
2300,0.0,0.0,2773.0,1,1.0
2301,62.5,0.25,2835.25,0,1.0
2302,0.0,0.25,2835.0,1,1.0
2303,0.0,0.0,2835.0,1,1.0
2304,0.0,0.0,2835.0,1,1.0
2305,0.0,0.0,2835.0,1,1.0
2306,0.0,0.0,2835.0,1,1.0
2307,0.0,0.0,2835.0,1,1.0
2308,0.0,0.0,2835.0,1,1.0
2309,0.0,0.0,2835.0,1,1.0
2310,0.0,0.0,2835.0,1,1.0
2311,0.0,0.0,2835.0,1,1.0
2312,0.0,0.0,2835.0,1,1.0
2313,0.0,0.0,2835.0,1,1.0
2314,-75.0,0.25,2759.75,0,1.0
2315,0.0,0.25,2759.5,1,1.0
2316,0.0,0.0,2759.5,1,1.0
2317,0.0,0.0,2759.5,1,1.0
2318,0.0,0.0,2759.5,1,1.0
2319,0.0,0.0,2759.5,1,1.0
2320,0.0,0.0,2759.5,1,1.0
2321,0.0,0.0,2759.5,1,1.0
2322,0.0,0.0,2759.5,1,1.0
2323,0.0,0.0,2759.5,1,1.0
2324,0.0,0.0,2759.5,1,1.0
2325,0.0,0.0,2759.5,1,1.0
2326,0.0,0.0,2759.5,1,1.0
2327,50.0,0.25,2809.25,0,1.0
2328,0.0,0.25,2809.0,1,1.0
2329,0.0,0.0,2809.0,1,1.0
2330,0.0,0.0,2809.0,1,1.0
2331,0.0,0.0,2809.0,1,1.0
2332,0.0,0.0,2809.0,1,1.0
2333,12.5,0.25,2821.25,2,1.0
2334,50.0,0.25,2871.0,1,1.0
2335,0.0,0.0,2871.0,1,1.0
2336,0.0,0.0,2871.0,1,1.0
2337,0.0,0.0,2871.0,1,1.0
2338,0.0,0.0,2871.0,1,1.0
2339,0.0,0.0,2871.0,1,1.0
2340,0.0,0.0,2871.0,1,1.0
2341,0.0,0.0,2871.0,1,1.0
2342,0.0,0.0,2871.0,1,1.0
2343,0.0,0.0,2871.0,1,1.0
2344,0.0,0.0,2871.0,1,1.0
2345,0.0,0.0,2871.0,1,1.0
2346,0.0,0.0,2871.0,1,1.0
2347,0.0,0.0,2871.0,1,1.0
2348,0.0,0.0,2871.0,1,1.0
2349,200.0,0.25,3070.75,0,1.0
2350,0.0,0.25,3070.5,1,1.0
2351,0.0,0.0,3070.5,1,1.0
2352,0.0,0.0,3070.5,1,1.0
2353,0.0,0.0,3070.5,1,1.0
2354,0.0,0.0,3070.5,1,1.0
2355,0.0,0.0,3070.5,1,1.0
2356,0.0,0.0,3070.5,1,1.0
2357,0.0,0.0,3070.5,1,1.0
2358,0.0,0.0,3070.5,1,1.0
2359,0.0,0.0,3070.5,1,1.0
2360,0.0,0.0,3070.5,1,1.0
2361,0.0,0.0,3070.5,1,1.0
2362,0.0,0.0,3070.5,1,1.0
2363,0.0,0.0,3070.5,1,1.0
2364,0.0,0.0,3070.5,1,1.0
2365,0.0,0.0,3070.5,1,1.0
2366,0.0,0.0,3070.5,1,1.0
2367,0.0,0.0,3070.5,1,1.0
2368,0.0,0.0,3070.5,1,1.0
2369,0.0,0.0,3070.5,1,1.0
2370,0.0,0.0,3070.5,1,1.0
2371,0.0,0.0,3070.5,1,1.0
2372,0.0,0.0,3070.5,1,1.0
2373,0.0,0.0,3070.5,1,1.0
2374,-275.0,0.25,2795.25,2,1.0
2375,50.0,0.25,2845.0,1,1.0
2376,0.0,0.0,2845.0,1,1.0
2377,0.0,0.0,2845.0,1,1.0
2378,0.0,0.0,2845.0,1,1.0
2379,0.0,0.0,2845.0,1,1.0
2380,0.0,0.0,2845.0,1,1.0
2381,50.0,0.25,2894.75,2,1.0
2382,0.0,0.25,2894.5,1,1.0
2383,0.0,0.0,2894.5,1,1.0
2384,0.0,0.0,2894.5,1,1.0
2385,0.0,0.0,2894.5,1,1.0
2386,87.5,0.25,2981.75,2,1.0
2387,25.0,0.25,3006.5,1,1.0
2388,-25.0,0.25,2981.25,2,1.0
2389,0.0,0.0,2981.25,2,1.0
2390,0.0,0.25,2981.0,1,1.0
2391,0.0,0.0,2981.0,1,1.0
2392,0.0,0.0,2981.0,1,1.0
2393,0.0,0.0,2981.0,1,1.0
2394,0.0,0.0,2981.0,1,1.0
2395,0.0,0.0,2981.0,1,1.0
2396,0.0,0.0,2981.0,1,1.0
2397,0.0,0.0,2981.0,1,1.0
2398,0.0,0.0,2981.0,1,1.0
2399,0.0,0.0,2981.0,1,1.0
2400,0.0,0.0,2981.0,1,1.0
2401,0.0,0.0,2981.0,1,1.0
2402,0.0,0.0,2981.0,1,1.0
2403,-62.5,0.25,2918.25,2,1.0
2404,-12.5,0.25,2905.5,1,1.0
2405,0.0,0.0,2905.5,1,1.0
2406,0.0,0.0,2905.5,1,1.0
2407,0.0,0.0,2905.5,1,1.0
2408,0.0,0.0,2905.5,1,1.0
2409,-25.0,0.25,2880.25,0,1.0
2410,0.0,0.25,2880.0,1,1.0
2411,0.0,0.0,2880.0,1,1.0
2412,0.0,0.0,2880.0,1,1.0
2413,0.0,0.0,2880.0,1,1.0
2414,0.0,0.0,2880.0,1,1.0
2415,0.0,0.0,2880.0,1,1.0
2416,0.0,0.0,2880.0,1,1.0
2417,0.0,0.0,2880.0,1,1.0
2418,0.0,0.0,2880.0,1,1.0
2419,0.0,0.0,2880.0,1,1.0
2420,0.0,0.0,2880.0,1,1.0
2421,0.0,0.0,2880.0,1,1.0
2422,0.0,0.0,2880.0,1,1.0
2423,0.0,0.0,2880.0,1,1.0
2424,0.0,0.0,2880.0,1,1.0
2425,0.0,0.0,2880.0,1,1.0
2426,0.0,0.0,2880.0,1,1.0
2427,0.0,0.0,2880.0,1,1.0
2428,0.0,0.0,2880.0,1,1.0
2429,-75.0,0.25,2804.75,0,1.0
2430,0.0,0.25,2804.5,1,1.0
2431,0.0,0.0,2804.5,1,1.0
2432,0.0,0.0,2804.5,1,1.0
2433,0.0,0.0,2804.5,1,1.0
2434,0.0,0.0,2804.5,1,1.0
2435,0.0,0.0,2804.5,1,1.0
2436,0.0,0.0,2804.5,1,1.0
2437,0.0,0.0,2804.5,1,1.0
2438,0.0,0.0,2804.5,1,1.0
2439,0.0,0.0,2804.5,1,1.0
2440,0.0,0.0,2804.5,1,1.0
2441,0.0,0.0,2804.5,1,1.0
2442,0.0,0.0,2804.5,1,1.0
2443,0.0,0.0,2804.5,1,1.0
2444,0.0,0.0,2804.5,1,1.0
2445,0.0,0.0,2804.5,1,1.0
2446,0.0,0.0,2804.5,1,1.0
2447,0.0,0.0,2804.5,1,1.0
2448,0.0,0.0,2804.5,1,1.0
2449,0.0,0.0,2804.5,1,1.0
2450,12.5,0.25,2816.75,0,1.0
2451,0.0,0.25,2816.5,1,1.0
2452,0.0,0.0,2816.5,1,1.0
2453,0.0,0.0,2816.5,1,1.0
2454,0.0,0.0,2816.5,1,1.0
2455,0.0,0.0,2816.5,1,1.0
2456,0.0,0.0,2816.5,1,1.0
2457,0.0,0.0,2816.5,1,1.0
2458,0.0,0.0,2816.5,1,1.0
2459,0.0,0.0,2816.5,1,1.0
2460,0.0,0.0,2816.5,1,1.0
2461,0.0,0.0,2816.5,1,1.0
2462,-162.5,0.25,2653.75,2,1.0
2463,50.0,0.25,2703.5,1,1.0
2464,0.0,0.0,2703.5,1,1.0
2465,0.0,0.0,2703.5,1,1.0
2466,0.0,0.0,2703.5,1,1.0
2467,0.0,0.0,2703.5,1,1.0
2468,0.0,0.0,2703.5,1,1.0
2469,0.0,0.0,2703.5,1,1.0
2470,0.0,0.0,2703.5,1,1.0
2471,0.0,0.0,2703.5,1,1.0
2472,0.0,0.0,2703.5,1,1.0
2473,0.0,0.0,2703.5,1,1.0
2474,0.0,0.0,2703.5,1,1.0
2475,0.0,0.0,2703.5,1,1.0
2476,0.0,0.0,2703.5,1,1.0
2477,0.0,0.0,2703.5,1,1.0
2478,0.0,0.0,2703.5,1,1.0
2479,0.0,0.0,2703.5,1,1.0
2480,0.0,0.0,2703.5,1,1.0
2481,0.0,0.0,2703.5,1,1.0
2482,0.0,0.0,2703.5,1,1.0
2483,0.0,0.0,2703.5,1,1.0
2484,0.0,0.0,2703.5,1,1.0
2485,0.0,0.0,2703.5,1,1.0
2486,0.0,0.0,2703.5,1,1.0
2487,0.0,0.0,2703.5,1,1.0
2488,0.0,0.0,2703.5,1,1.0
2489,0.0,0.0,2703.5,1,1.0
2490,0.0,0.0,2703.5,1,1.0
2491,0.0,0.0,2703.5,1,1.0
2492,0.0,0.0,2703.5,1,1.0
2493,0.0,0.0,2703.5,1,1.0
2494,0.0,0.0,2703.5,1,1.0
2495,0.0,0.0,2703.5,1,1.0
2496,0.0,0.0,2703.5,1,1.0
2497,0.0,0.0,2703.5,1,1.0
2498,0.0,0.0,2703.5,1,1.0
2499,0.0,0.0,2703.5,1,1.0
2500,0.0,0.0,2703.5,1,1.0
2501,0.0,0.0,2703.5,1,1.0
2502,0.0,0.0,2703.5,1,1.0
2503,-187.5,0.25,2515.75,2,1.0
2504,0.0,0.25,2515.5,0,1.0
2505,0.0,0.25,2515.25,1,1.0
2506,0.0,0.0,2515.25,1,1.0
2507,-25.0,0.25,2490.0,2,1.0
2508,-25.0,0.25,2464.75,1,1.0
2509,0.0,0.0,2464.75,1,1.0
2510,0.0,0.0,2464.75,1,1.0
2511,0.0,0.0,2464.75,1,1.0
2512,0.0,0.0,2464.75,1,1.0
2513,-37.5,0.25,2427.0,0,1.0
2514,0.0,0.25,2426.75,1,1.0
2515,0.0,0.0,2426.75,1,1.0
2516,0.0,0.0,2426.75,1,1.0
2517,0.0,0.0,2426.75,1,1.0
2518,0.0,0.0,2426.75,1,1.0
2519,37.5,0.25,2464.0,2,1.0
2520,-87.5,0.25,2376.25,1,1.0
2521,0.0,0.0,2376.25,1,1.0
2522,0.0,0.0,2376.25,1,1.0
2523,0.0,0.0,2376.25,1,1.0
2524,0.0,0.0,2376.25,1,1.0
2525,0.0,0.0,2376.25,1,1.0
2526,0.0,0.0,2376.25,1,1.0
2527,0.0,0.0,2376.25,1,1.0
2528,0.0,0.0,2376.25,1,1.0
2529,0.0,0.0,2376.25,1,1.0
2530,0.0,0.0,2376.25,1,1.0
2531,0.0,0.0,2376.25,1,1.0
2532,0.0,0.0,2376.25,1,1.0
2533,-150.0,0.25,2226.0,0,1.0
2534,0.0,0.25,2225.75,1,1.0
2535,0.0,0.0,2225.75,1,1.0
2536,0.0,0.0,2225.75,1,1.0
2537,0.0,0.0,2225.75,1,1.0
2538,0.0,0.0,2225.75,1,1.0
2539,0.0,0.0,2225.75,1,1.0
2540,0.0,0.0,2225.75,1,1.0
2541,0.0,0.0,2225.75,1,1.0
2542,0.0,0.0,2225.75,1,1.0
2543,0.0,0.0,2225.75,1,1.0
2544,0.0,0.0,2225.75,1,1.0
2545,0.0,0.0,2225.75,1,1.0
2546,0.0,0.0,2225.75,1,1.0
2547,0.0,0.0,2225.75,1,1.0
2548,0.0,0.0,2225.75,1,1.0
2549,0.0,0.0,2225.75,1,1.0
2550,0.0,0.0,2225.75,1,1.0
2551,0.0,0.0,2225.75,1,1.0
2552,0.0,0.0,2225.75,1,1.0
2553,0.0,0.0,2225.75,1,1.0
2554,0.0,0.0,2225.75,1,1.0
2555,0.0,0.0,2225.75,1,1.0
2556,62.5,0.25,2288.0,2,1.0
2557,112.5,0.25,2400.25,1,1.0
2558,0.0,0.0,2400.25,1,1.0
2559,0.0,0.0,2400.25,1,1.0
2560,62.5,0.25,2462.5,0,1.0
2561,0.0,0.25,2462.25,1,1.0
2562,0.0,0.0,2462.25,1,1.0
2563,-50.0,0.25,2412.0,0,1.0
2564,0.0,0.25,2411.75,1,1.0
2565,0.0,0.0,2411.75,1,1.0
2566,0.0,0.0,2411.75,1,1.0
2567,0.0,0.0,2411.75,1,1.0
2568,0.0,0.0,2411.75,1,1.0
2569,62.5,0.25,2474.0,0,1.0
2570,0.0,0.25,2473.75,1,1.0
2571,0.0,0.0,2473.75,1,1.0
2572,0.0,0.0,2473.75,1,1.0
2573,0.0,0.0,2473.75,1,1.0
2574,0.0,0.0,2473.75,1,1.0
2575,0.0,0.0,2473.75,1,1.0
2576,-87.5,0.25,2386.0,2,1.0
2577,0.0,0.0,2386.0,2,1.0
2578,0.0,0.0,2386.0,2,1.0
2579,0.0,0.0,2386.0,2,1.0
2580,0.0,0.0,2386.0,2,1.0
2581,-50.0,0.25,2335.75,0,1.0
2582,0.0,0.25,2335.5,2,1.0
2583,0.0,0.0,2335.5,2,1.0
2584,-50.0,0.25,2285.25,1,1.0
2585,0.0,0.25,2285.0,0,1.0
2586,0.0,0.25,2284.75,2,1.0
2587,0.0,0.0,2284.75,2,1.0
2588,0.0,0.0,2284.75,2,1.0
2589,0.0,0.0,2284.75,2,1.0
2590,0.0,0.0,2284.75,2,1.0
2591,-75.0,0.25,2209.5,1,1.0
2592,0.0,0.0,2209.5,1,1.0
2593,0.0,0.0,2209.5,1,1.0
2594,0.0,0.0,2209.5,1,1.0
2595,-37.5,0.25,2171.75,2,1.0
2596,0.0,0.25,2171.5,1,1.0
2597,0.0,0.0,2171.5,1,1.0
2598,0.0,0.0,2171.5,1,1.0
2599,0.0,0.25,2171.25,0,1.0
2600,0.0,0.25,2171.0,1,1.0
2601,0.0,0.25,2170.75,2,1.0
2602,0.0,0.25,2170.5,1,1.0
2603,0.0,0.25,2170.25,0,1.0
2604,0.0,0.25,2170.0,1,1.0
2605,-12.5,0.25,2157.25,0,1.0
2606,0.0,0.25,2157.0,1,1.0
2607,12.5,0.25,2169.25,0,1.0
2608,0.0,0.25,2169.0,1,1.0
2609,12.5,0.25,2181.25,0,1.0
2610,0.0,0.25,2181.0,1,1.0
2611,-12.5,0.25,2168.25,2,1.0
2612,0.0,0.0,2168.25,2,1.0
2613,-12.5,0.25,2155.5,0,1.0
2614,0.0,0.25,2155.25,1,1.0
2615,0.0,0.0,2155.25,1,1.0
2616,0.0,0.0,2155.25,1,1.0
2617,0.0,0.0,2155.25,1,1.0
2618,0.0,0.25,2155.0,2,1.0
2619,12.5,0.25,2167.25,0,1.0
2620,0.0,0.25,2167.0,1,1.0
2621,0.0,0.0,2167.0,1,1.0
2622,0.0,0.25,2166.75,0,1.0
2623,0.0,0.25,2166.5,1,1.0
2624,12.5,0.25,2178.75,0,1.0
2625,0.0,0.25,2178.5,1,1.0
2626,37.5,0.25,2215.75,0,1.0
2627,0.0,0.0,2215.75,0,1.0
2628,0.0,0.0,2215.75,0,1.0
2629,0.0,0.25,2215.5,1,1.0
2630,0.0,0.0,2215.5,1,1.0
2631,0.0,0.25,2215.25,0,1.0
2632,0.0,0.25,2215.0,1,1.0
2633,0.0,0.25,2214.75,0,1.0
2634,0.0,0.25,2214.5,1,1.0
